user_name,basement_addr_x,basement_addr_y,begin_addr_x,begin_addr_y,target_name,target_addr_x,target_addr_y,speed,outpost_addr_x,outpost_addr_y,target_begin_distance,target_basement_distance,start_time,end_time
"疯风",3035,4075,1600,3246,"太阳系的希望",1125,3104,2500,605,0,0,0,0,0
"暴行",3035,4095,1600,3249,"太阳系的希望",1125,3104,2500,615,0,0,0,0,0
